AB         Albeluvisol
ABal       Alic Albeluvisol
ABap       Abruptic Albeluvisol
ABar       Arenic Albeluvisol
ABau       Alumic Albeluvisol
ABeun      Endoeutric Albeluvisol
ABfg       Fragic Albeluvisol
ABfr       Ferric Albeluvisol
ABge       Gelic Albeluvisol
ABgl       Gleyic Albeluvisol
ABha       Haplic Albeluvisol
ABhi       Histic Albeluvisol
ABsl       Siltic Albeluvisol
ABst       Stagnic Albeluvisol
ABum       Umbric Albeluvisol
AC         Acrisol
ACab       Albic Acrisol
ACan       Andic Acrisol
ACap       Abruptic Acrisol
ACar       Arenic Acrisol
ACau       Alumic Acrisol
ACcr       Chromic Acrisol
ACdyh      Hyperdystric Acrisol
ACfr       Ferric Acrisol
ACgl       Gleyic Acrisol
ACgr       Geric Acrisol
ACha       Haplic Acrisol
AChu       Humic Acrisol
ACle       Leptic Acrisol
ACll       Lamellic Acrisol
ACohh      Hyperochric Acrisol
ACpf       Profondic Acrisol
ACpl       Plinthic Acrisol
ACro       Rhodic Acrisol
ACsk       Skeletic Acrisol
ACst       Stagnic Acrisol
ACum       Umbric Acrisol
ACvi       Vitric Acrisol
ACvt       Vetic Acrisol
AL         Alisol
ALab       Albic Alisol
ALan       Andic Alisol
ALap       Abruptic Alisol
ALar       Arenic Alisol
ALcr       Chromic Alisol
ALdyh      Hyperdystric Alisol
ALfr       Ferric Alisol
ALgl       Gleyic Alisol
ALha       Haplic Alisol
ALhu       Humic Alisol
ALll       Lamellic Alisol
ALni       Nitic Alisol
ALpf       Profondic Alisol
ALpl       Plinthic Alisol
ALro       Rhodic Alisol
ALsk       Skeletic Alisol
ALst       Stagnic Alisol
ALum       Umbric Alisol
ALvr       Vertic Alisol
AN         Andosol
ANao       Acroxic Andosol
ANar       Arenic Andosol
ANca       Calcaric Andosol
ANdu       Duric Andosol
ANdy       Dystric Andosol
ANes       Eutrisilic Andosol
ANeu       Eutric Andosol
ANfu       Fulvic Andosol
ANgl       Gleyic Andosol
ANha       Haplic Andosol
ANhi       Histic Andosol
ANhy       Hydric Andosol
ANle       Leptic Andosol
ANlv       Luvic Andosol
ANme       Melanic Andosol
ANmo       Mollic Andosol
ANph       Pachic Andosol
ANpi       Placic Andosol
ANsi       Silic Andosol
ANsk       Skeletic Andosol
ANso       Sodic Andosol
ANth       Thaptic Andosol
ANum       Umbric Andosol
ANvi       Vitric Andosol
ANvt       Vetic Andosol
AR         Arenosol
ARab       Albic Arenosol
ARad       Aridic Arenosol
ARca       Calcaric Arenosol
ARduw      Hypoduric Arenosol
ARdy       Dystric Arenosol
AReu       Eutric Arenosol
ARfg       Fragic Arenosol
ARfl       Ferralic Arenosol
ARge       Gelic Arenosol
ARgl       Gleyic Arenosol
ARgp       Gypsiric Arenosol
ARha       Haplic Arenosol
ARll       Lamellic Arenosol
ARlvw      Hypoluvic Arenosol
ARpl       Plinthic Arenosol
ARpr       Protic Arenosol
ARru       Rubic Arenosol
ARszw      Hyposalic Arenosol
ARtf       Tephric Arenosol
ARye       Yermic Arenosol
AT         Anthrosol
ATar       Arenic Anthrosol
ATfl       Ferralic Anthrosol
ATgl       Gleyic Anthrosol
AThg       Hydragric Anthrosol
ATht       Hortic Anthrosol
ATir       Irragric Anthrosol
ATlv       Luvic Anthrosol
ATpa       Plaggic Anthrosol
ATrg       Regic Anthrosol
ATsd       Spodic Anthrosol
ATst       Stagnic Anthrosol
ATtr       Terric Anthrosol
CH         Chernozem
CHcc       Calcic Chernozem
CHch       Chernic Chernozem
CHgl       Gleyic Chernozem
CHgs       Glossic Chernozem
CHha       Haplic Chernozem
CHlv       Luvic Chernozem
CHsl       Siltic Chernozem
CHvm       Vermic Chernozem
CHvr       Vertic Chernozem
CL         Calcisol
CLad       Aridic Calcisol
CLcch      Hypercalcic Calcisol
CLccw      Hypocalcic Calcisol
CLgl       Gleyic Calcisol
CLha       Haplic Calcisol
CLle       Leptic Calcisol
CLlv       Luvic Calcisol
CLohh      Hyperochric Calcisol
CLpt       Petric Calcisol
CLsk       Skeletic Calcisol
CLso       Sodic Calcisol
CLszn      Endosalic Calcisol
CLty       Takyric Calcisol
CLvr       Vertic Calcisol
CLye       Yermic Calcisol
CM         Cambisol
CMad       Aridic Cambisol
CMan       Andic Cambisol
CMca       Calcaric Cambisol
CMcr       Chromic Cambisol
CMdy       Dystric Cambisol
CMeu       Eutric Cambisol
CMfl       Ferralic Cambisol
